event_name,date,day,station,type,am_peak,midday,pm_peak,env,sum
2017 Inauguration,1/20/2017,Fri,Federal Triangle,Exit,0.0,0.0,0.0,0.0,0.0
2017 Inauguration,1/20/2017,Fri,Foggy Bottom,Entry,3491.0,3936.0,4869.0,2537.0,14833.0
2017 Inauguration,1/20/2017,Fri,Foggy Bottom,Exit,2641.0,5452.0,3751.0,1752.0,13596.0
2017 Inauguration,1/20/2017,Fri,Forest Glen,Entry,538.0,385.0,199.0,108.0,1230.0
2017 Inauguration,1/20/2017,Fri,Forest Glen,Exit,75.0,324.0,487.0,323.0,1209.0
2017 Inauguration,1/20/2017,Fri,Fort Totten Red,Entry,1835.0,1580.0,965.0,467.0,4847.0
2017 Inauguration,1/20/2017,Fri,Fort Totten Red,Exit,507.0,1043.0,1780.0,1470.0,4800.0
2017 Inauguration,1/20/2017,Fri,Franconia-Springfield,Entry,7169.0,2334.0,914.0,354.0,10771.0
2017 Inauguration,1/20/2017,Fri,Franconia-Springfield,Exit,379.0,3193.0,4514.0,2372.0,10458.0
2017 Inauguration,1/20/2017,Fri,Friendship Heights,Entry,1979.0,2059.0,1968.0,995.0,7001.0
2017 Inauguration,1/20/2017,Fri,Friendship Heights,Exit,1131.0,2431.0,2628.0,1178.0,7368.0
2017 Inauguration,1/20/2017,Fri,Gallery Place,Entry,1896.0,11803.0,17722.0,11147.0,42568.0
2017 Inauguration,1/20/2017,Fri,Gallery Place,Exit,11998.0,14352.0,7498.0,4894.0,38742.0
2017 Inauguration,1/20/2017,Fri,Georgia Ave-Petworth,Entry,1286.0,1388.0,973.0,572.0,4219.0
2017 Inauguration,1/20/2017,Fri,Georgia Ave-Petworth,Exit,331.0,1142.0,1734.0,1396.0,4603.0
2017 Inauguration,1/20/2017,Fri,Glenmont,Entry,1885.0,942.0,427.0,244.0,3498.0
